ID_FASHI,Name,ra,dec,ra-dec_err,cz,cz_err,cz_min,cz_max,v_radio,v_radio_err,freq,freq_err,z,z_err,ell_maj,ell_min,ell_pa,W_50,W_50_err,W_20,W_20_err,F_peak,F_peak_err,S_bf,S_bf_err,S_sum,S_sum_err,rms,SNR,distance,distance_err,log10Mass,log10Mass_err ,ell_ratio
20230033982.0,J010726.50+523445.0,16.8604,52.5792,0.0027,2209.39,1.81,2134.7,2285.41,2193.23,1.81,1410.0143,0.0086,0.00737,6e-06,2.5,2.5,0,9.5,3.61,45.01,5.42,7.86,0.94,129.58,27.15,61.73,27.15,0.94,17.69,25.72,1.29,7.3,0.1,1.0
20230034861.0,J153130.67+531849.2,232.8778,53.3137,0.0023,2171.69,2.37,1977.61,2265.76,2156.07,2.37,1410.1904,0.0112,0.00724,8e-06,3.7,3.7,0,10.78,4.73,99.37,7.1,8.47,1.71,302.44,70.54,302.65,70.54,1.71,21.35,34.46,1.72,7.92,0.11,1.0
20230035152.0,J021837.73+533332.5,34.6572,53.559,0.001,7167.33,0.99,7013.98,7284.7,6999.98,0.99,1387.2401,0.0047,0.02391,3e-06,2.5,2.5,0,8.48,1.97,89.95,2.96,4.48,0.5,181.8,19.74,185.63,19.74,0.5,49.11,101.34,5.07,8.63,0.06,1.0
20230063286.0,J135406.44+534652.8,208.5268,53.7813,0.0021,296.79,1.24,239.59,343.31,296.5,1.24,1419.001,0.0059,0.00099,4e-06,4.7,4.2,163,22.15,2.48,49.88,3.72,11.59,1.24,335.66,28.92,300.73,28.92,1.24,22.8,6.43,0.32,6.51,0.06,0.8936170212765957
20230035576.0,J060357.46+535401.3,90.9894,53.9004,0.0025,7767.1,2.94,7588.5,7969.08,7570.95,2.94,1384.5349,0.0139,0.02591,1e-05,3.1,3.1,0,14.82,5.88,124.73,8.83,2.84,0.73,136.84,34.55,114.15,34.55,0.73,19.12,110.67,5.53,8.59,0.12,1.0
20230035788.0,J144642.20+540701.4,221.6758,54.117,0.0033,5692.14,3.09,5597.24,5798.37,5586.08,3.09,1393.9391,0.0146,0.01899,1.1e-05,4.8,4.0,103,25.59,6.18,95.76,9.27,13.15,2.49,463.96,83.7,521.77,83.7,2.49,14.54,80.59,4.03,8.84,0.09,0.8333333333333334
20230036013.0,J164550.20+541828.0,251.4592,54.3078,0.0033,8761.64,3.45,8628.02,8942.68,8512.85,3.45,1380.0722,0.0163,0.02923,1.2e-05,3.4,3.4,0,22.94,6.89,109.07,10.34,2.49,0.78,136.2,32.94,96.61,32.94,0.78,14.45,115.12,5.76,8.62,0.11,1.0
20230056767.0,J070456.75+541924.8,106.2364,54.3236,0.0034,11074.2,3.49,10921.91,11352.43,10679.7,3.49,1369.8057,0.0166,0.03694,1.3e-05,2.3,2.3,0,16.16,6.99,100.0,10.48,2.13,0.61,87.79,30.43,72.4,30.43,0.61,14.06,151.74,7.59,8.66,0.16,1.0
20230056672.0,J001356.58+542111.1,3.4857,54.3531,0.006,9681.11,2.42,9606.1,9798.79,9378.26,2.42,1375.9719,0.0114,0.03229,9e-06,2.2,2.2,0,24.1,4.83,37.05,7.25,2.83,0.78,77.45,25.2,41.89,25.2,0.78,8.0,131.92,6.6,8.49,0.15,1.0
20230036458.0,J133555.52+544427.1,203.9813,54.7409,0.0023,358.69,0.83,287.4,397.42,358.26,0.83,1418.7083,0.0039,0.0012,3e-06,5.2,4.6,31,21.22,1.66,32.1,2.49,24.47,2.21,549.4,53.61,427.22,53.61,2.21,21.29,7.46,0.37,6.86,0.06,0.8846153846153845
